Step,MLP,GAUSSIAN,BETA
51200,-333.515747070313,-279.986267089844,-150.234100341797
102400,-264.088653564453,-272.100524902344,-79.3886260986328
153600,-115.969223022461,-249.589111328125,20.5405006408691
204800,129.261962890625,-182.825820922852,131.561935424805
256000,406.990081787109,-63.8786659240723,297.294189453125
307200,635.668762207031,161.47673034668,386.129516601563
358400,794.393371582031,419.824523925781,389.032165527344
409600,908.483215332031,573.813537597656,429.068176269531
460800,1029.65417480469,671.491271972656,506.803405761719
512000,1152.12329101563,760.536193847656,557.317993164063
563200,1235.08630371094,827.518981933594,602.163940429688
614400,1300.59399414063,878.134582519531,762.123474121094
665600,1345.56799316406,950.540344238281,827.102416992188
716800,1379.9990234375,1083.38391113281,753.860107421875
768000,1417.27355957031,1274.2294921875,722.368103027344
819200,1439.74743652344,1480.58837890625,751.5439453125
870400,1456.85974121094,1815.27893066406,825.596557617188
921600,1449.87182617188,2198.96923828125,857.243225097656
972800,1468.01037597656,2478.41821289063,862.045104980469
1024000,1490.545288,2522.725098,817.7328491
