Step,MLP,GAUSSIAN,BETA
51200,235.183212280273,317.307220458984,359.185760498047
102400,299.838562011719,337.555786132813,359.666625976563
153600,336.864135742188,336.486511230469,399.649963378906
204800,373.972534179688,351.512420654297,392.683959960938
256000,377.164245605469,343.793151855469,394.707397460938
307200,371.859100341797,355.736328125,407.072662353516
358400,399.091552734375,381.679016113281,407.045593261719
409600,394.104644775391,356.453155517578,425.898895263672
460800,402.673828125,365.628601074219,421.793701171875
512000,413.037963867188,380.600738525391,452.351043701172
563200,446.361633300781,383.794494628906,471.1142578125
614400,429.009155273438,388.922943115234,447.125030517578
665600,435.572021484375,405.2060546875,470.974182128906
716800,453.047729492188,415.763031005859,493.383361816406
768000,473.3583984375,403.370452880859,488.296936035156
819200,449.857788085938,400.433959960938,501.158111572266
870400,463.652465820313,414.08837890625,507.644989013672
921600,477.350189208984,410.114837646484,521.6640625
972800,470.184234619141,438.036926269531,494.675842285156
1024000,476.85849,421.3111877,496.9915771
