Step,MLP,GAUSSIAN,BETA
51200,43956.07422,47106.35938,32478.84961
102400,51512.62109375,56579.75390625,35610.70703125
153600,62829.1328125,68839.0390625,42653.5078125
204800,70637.7890625,76748.9140625,53912.69140625
256000,74719.734375,83879.078125,66723.1015625
307200,76049.328125,92348.3515625,74347.015625
358400,78957.84375,103118.7109375,76666.0546875
409600,80123.421875,111004.515625,77836.75
460800,82926.71875,108219.265625,79772.578125
512000,86693.5546875,105565.71875,79511.5390625
563200,88529.3125,105707.7265625,81649.4921875
614400,91001.546875,106176.4453125,82816.921875
665600,94884.6640625,103033.109375,81374.015625
716800,90629.03125,107425.7421875,84063.421875
768000,87152.390625,111053.59375,85826.71875
819200,87557.5546875,103528.0703125,86730.890625
870400,89175.359375,101974.671875,87871.8828125
921600,94181.578125,102630.5703125,86955.9375
972800,96411.1171875,104743.1171875,85314.9921875
1024000,98673.546875,107602.5234375,83231.1171875
