Environment,Model,Condition,Mean Reward,Std Reward,Mean Episode Length,Std Episode Length
HalfCheetah-v4,BETA,Original,800.4380013967354,475.7770885369224,1000.0,0.0
HalfCheetah-v4,BETA,Noisy,709.5917842482785,538.0313619045492,1000.0,0.0
HalfCheetah-v4,MLP,Original,1467.004159169865,124.98431247089623,1000.0,0.0
HalfCheetah-v4,MLP,Noisy,1372.7618338866582,243.54673626783028,1000.0,0.0
HalfCheetah-v4,GAUSSIAN,Original,2602.0578112677204,411.1789232002569,1000.0,0.0
HalfCheetah-v4,GAUSSIAN,Noisy,2458.532291593269,425.32038757627635,1000.0,0.0
HumanoidStandup-v4,BETA,Original,87249.42781944275,12372.626987312553,1000.0,0.0
HumanoidStandup-v4,BETA,Noisy,82038.09558372498,10971.566711241237,1000.0,0.0
HumanoidStandup-v4,MLP,Original,95923.62950344085,12599.740462644475,1000.0,0.0
HumanoidStandup-v4,MLP,Noisy,89031.88358020782,13762.945407795762,1000.0,0.0
HumanoidStandup-v4,GAUSSIAN,Original,116458.27848396302,16309.17551602031,1000.0,0.0
HumanoidStandup-v4,GAUSSIAN,Noisy,109261.25550765991,23641.630261190337,1000.0,0.0
Ant-v4,BETA,Original,1322.9126163770818,337.52648857425197,924.18,223.31759357471142
Ant-v4,BETA,Noisy,1263.3542338063637,377.2608154941339,887.14,261.6762129044213
Ant-v4,MLP,Original,1042.7753374581368,560.1414098926122,709.94,357.6932993501556
Ant-v4,MLP,Noisy,901.6525195222052,553.4101007661492,691.28,388.2411127121907
Ant-v4,GAUSSIAN,Original,1108.5848363464988,456.46885591951997,755.95,309.55572600099003
Ant-v4,GAUSSIAN,Noisy,998.4662773332093,547.3705005509217,679.55,372.11724966735954
Humanoid-v4,BETA,Original,523.5262821912766,115.64705702452326,99.8,19.53356086329372
Humanoid-v4,BETA,Noisy,495.4581224679947,84.51891278305101,94.9,15.36522046701576
Humanoid-v4,MLP,Original,466.7359730958939,102.32434435337676,87.5,17.89553016817328
Humanoid-v4,MLP,Noisy,431.001770067215,84.49995187011748,81.0,13.03073290340954
Humanoid-v4,GAUSSIAN,Original,401.61740736961366,83.8922356291139,81.1,16.890529891036575
Humanoid-v4,GAUSSIAN,Noisy,371.49843058586123,59.7994221898358,75.0,11.15347479487895
