Environment,Model,Environment Condition,Max Reward,Mean Reward,Std Reward
HalfCheetah-v4,BETA,Original,1317.8181612313492,800.4380013967354,475.7770885369224
HalfCheetah-v4,BETA,Noisy,1083.1700031459332,709.5917842482785,538.0313619045492
HalfCheetah-v4,MLP,Original,1541.9363334458321,1467.004159169865,124.98431247089623
HalfCheetah-v4,MLP,Noisy,1531.689728830941,1372.7618338866582,243.54673626783028
HalfCheetah-v4,GAUSSIAN,Original,2835.5357654662803,2602.0578112677204,411.1789232002569
HalfCheetah-v4,GAUSSIAN,Noisy,2786.496059913188,2458.532291593269,425.32038757627635
HumanoidStandup-v4,BETA,Original,112568.05610275269,87249.42781944275,12372.626987312553
HumanoidStandup-v4,BETA,Noisy,108211.24917984009,82038.09558372498,10971.566711241237
HumanoidStandup-v4,MLP,Original,116255.08975219727,95923.62950344085,12599.740462644475
HumanoidStandup-v4,MLP,Noisy,121620.8671875,89031.88358020782,13762.945407795762
HumanoidStandup-v4,GAUSSIAN,Original,130605.62228012085,116458.27848396302,16309.17551602031
HumanoidStandup-v4,GAUSSIAN,Noisy,129201.63510513306,109261.25550765991,23641.630261190337
Ant-v4,BETA,Original,1578.5376610159874,1322.9126163770818,337.52648857425197
Ant-v4,BETA,Noisy,1520.9237705767155,1263.3542338063637,377.2608154941339
Ant-v4,MLP,Original,1962.643535433337,1042.7753374581368,560.1414098926122
Ant-v4,MLP,Noisy,1731.2308487668633,901.6525195222052,553.4101007661492
Ant-v4,GAUSSIAN,Original,1797.3972260896116,1108.5848363464988,456.46885591951997
Ant-v4,GAUSSIAN,Noisy,1721.3957095965743,998.4662773332093,547.3705005509217
Humanoid-v4,BETA,Original,677.4032263755798,523.5262821912766,115.64705702452326
Humanoid-v4,BETA,Noisy,610.7289595603943,495.4581224679947,84.51891278305101
Humanoid-v4,MLP,Original,707.4021410942078,466.7359730958939,102.32434435337676
Humanoid-v4,MLP,Noisy,616.4940390586853,431.001770067215,84.49995187011748
Humanoid-v4,GAUSSIAN,Original,611.7798628807068,401.61740736961366,83.8922356291139
Humanoid-v4,GAUSSIAN,Noisy,460.4087505340576,371.49843058586123,59.7994221898358
